"","year","track_popularity","track_name","track_artist","playlist_genre","key","acousticness","duration_ms"
"1",2019,66,"I Don't Care (with Justin Bieber) - Loud Luxury Remix","Ed Sheeran","pop",6,0.102,194754
"2",2019,67,"Memories - Dillon Francis Remix","Maroon 5","pop",11,0.0724,162600
"3",2019,70,"All the Time - Don Diablo Remix","Zara Larsson","pop",1,0.0794,176616
"4",2019,60,"Call You Mine - Keanu Silva Remix","The Chainsmokers","pop",7,0.0287,169093
"5",2019,69,"Someone You Loved - Future Humans Remix","Lewis Capaldi","pop",1,0.0803,189052
"6",2019,67,"Beautiful People (feat. Khalid) - Jack Wins Remix","Ed Sheeran","pop",8,0.0799,163049
"7",2019,62,"Never Really Over - R3HAB Remix","Katy Perry","pop",5,0.187,187675
"8",2019,69,"Post Malone (feat. RANI) - GATTÜSO Remix","Sam Feldt","pop",4,0.0335,207619
"9",2019,68,"Tough Love - Tiësto Remix / Radio Edit","Avicii","pop",8,0.0249,193187
"10",2019,67,"If I Can't Have You - Gryffin Remix","Shawn Mendes","pop",2,0.0567,253040
"11",2019,58,"Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix","Ed Sheeran","pop",6,0.146,207894
"12",2019,67,"Hate Me - R3HAB Remix","Ellie Goulding","pop",8,0.148,203733
"13",2019,67,"Body On My","Loud Luxury","pop",1,0.0399,192507
"14",2019,68,"SOS - Laidback Luke Tribute Remix / Radio Edit","Avicii","pop",5,0.0111,164516
"15",2019,63,"Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix","Martin Garrix","pop",5,0.00733,255238
"16",2019,66,"South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix","Ed Sheeran","pop",0,0.13,188230
"17",2019,60,"All My Friends - Eden Prince Remix","AJ Mitchell","pop",1,0.0702,173548
"18",2018,65,"Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix","David Guetta","pop",10,0.0395,189375
"19",2019,69,"Dancing With A Stranger (With Normani) - Cheat Codes Remix","Sam Smith","pop",1,0.103,159404
"20",2019,35,"Let It Be Me - Sondr Remix","Steve Aoki","pop",7,0.00791,185366
"21",2019,70,"Heaven - David Guetta & MORTEN Remix","Avicii","pop",6,0.00292,215238
"22",2019,64,"All Around The World (La La La) - Marnik Remix","R3HAB","pop",9,0.089,170667
"23",2019,62,"Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix","David Guetta","pop",4,0.0469,210968
"24",2019,70,"Slow Dance (feat. Ava Max) - Sam Feldt Remix","AJ Mitchell","pop",1,0.114,193548
"25",2019,58,"Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix","The Chainsmokers","pop",11,0.0163,205093
"26",2019,63,"Hold Me While You Wait - Steve Void Remix","Lewis Capaldi","pop",11,0.104,172800
"27",2019,66,"One Thing Right - Firebeatz Remix","Marshmello","pop",1,0.0146,192381
"28",2019,8,"Close To Me (with Diplo) (feat. Swae Lee) - CID Remix","Ellie Goulding","pop",1,0.0325,175000
"29",2019,62,"So Am I - Toby Green Remix","Ava Max","pop",6,0.00432,166875
"30",2019,30,"When You Leave - Breathe Carolina Remix","Nikki Vianna","pop",1,0.0334,155080
"31",2019,56,"Mother - Fedde Le Grand Remix","Charlie Puth","pop",11,0.0319,178125
"32",2018,56,"Signs - Eden Prince Remix","Starley","pop",0,0.107,172000
"33",2018,58,"Ruin My Life - Steve James Remix","Zara Larsson","pop",11,0.0103,177097
"34",2019,60,"Torn - KREAM Remix","Ava Max","pop",0,0.00141,169935
"35",2019,60,"Quite Miss Home - Steve Void Remix","James Arthur","pop",10,0.108,220413
"36",2019,55,"Love Me Less (feat. Quinn XCII) - Party Pupils Remix","MAX","pop",1,0.0823,185273
